PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,NBA_FANTASY_PTS,DD2,TD3,PLUS_MINUS
Fred Roberts,DAL,36,12,4,8,3.4,1.8,0.5,1.3,40.0,0.0,0.0,0.0,0.8,1.2,71.4,0.2,0.7,0.8,0.0,0.4,0.0,0.1,0.2,2.7,0.0,0.0,-0.9
Jud Buechler,CHI,29,76,65,11,9.2,1.8,0.8,2.1,36.7,0.2,0.7,33.3,0.1,0.2,35.7,0.6,1.1,1.7,0.8,0.4,0.3,0.3,0.7,6.4,0.0,0.0,0.9
Walter McCarty,NYK,23,35,24,11,5.4,1.8,0.7,1.9,38.2,0.1,0.4,28.6,0.2,0.4,57.1,0.2,0.4,0.7,0.4,0.5,0.2,0.3,1.1,4.1,0.0,0.0,0.2
Darrin Hancock,ATL,25,24,17,7,5.7,1.8,0.7,1.5,45.7,0.0,0.0,0.0,0.4,0.6,71.4,0.2,0.6,0.8,0.5,0.5,0.4,0.0,0.6,4.2,0.0,0.0,-0.8
Stevin Smith,DAL,25,8,0,8,7.6,1.8,0.8,2.3,33.3,0.1,0.8,16.7,0.1,0.1,100,0.3,1.0,1.3,0.5,0.5,0.1,0.0,1.1,3.9,0.0,0.0,-1.1
Shane Heal,MIN,26,43,15,28,5.3,1.7,0.6,2.3,26.8,0.5,1.5,30.8,0.1,0.1,60.0,0.0,0.4,0.4,0.8,0.4,0.1,0.1,0.5,3.4,0.0,0.0,0.4
Eric Leckner,VAN,31,20,1,19,6.5,1.7,0.7,1.7,42.4,0.0,0.0,0.0,0.3,0.6,50.0,0.3,1.6,1.8,0.3,0.5,0.2,0.1,1.8,4.5,0.0,0.0,-0.6
Horacio Llamas,PHX,23,20,16,4,4.9,1.7,0.8,1.4,53.6,0.0,0.0,0.0,0.2,0.4,50.0,0.2,0.7,0.9,0.2,0.6,0.5,0.3,1.3,4.8,0.0,0.0,1.0
Joe Wolf,MIL,32,56,23,33,9.3,1.7,0.7,1.6,44.9,0.0,0.1,14.3,0.3,0.3,73.7,0.6,1.4,2.0,0.4,0.3,0.3,0.2,1.9,5.7,0.0,0.0,-0.8
Randolph Childress,DET,24,23,16,7,6.6,1.7,0.6,1.7,35.0,0.2,0.8,26.3,0.3,0.3,75.0,0.0,0.2,0.3,0.7,0.8,0.4,0.0,0.7,3.5,0.0,0.0,-0.4
Brad Lohaus,TOR,32,6,1,5,7.4,1.7,0.7,2.5,26.7,0.3,1.2,28.6,0.0,0.0,0.0,0.2,1.0,1.2,0.2,0.2,0.2,0.0,1.0,3.7,0.0,0.0,-5.2
Amal McCaskill,ORL,23,17,9,8,6.4,1.6,0.6,1.9,31.3,0.0,0.1,0.0,0.5,0.7,66.7,0.2,1.1,1.3,0.4,0.6,0.2,0.3,0.4,4.6,0.0,0.0,-1.8
Alton Lister,BOS,38,53,8,45,9.7,1.6,0.6,1.5,41.6,0.0,0.0,0.0,0.4,0.6,74.2,1.2,1.9,3.2,0.2,0.6,0.2,0.3,1.8,6.5,0.0,0.0,-2.2
Mark Bradtke,PHI,28,36,6,30,6.9,1.6,0.7,1.6,43.1,0.0,0.0,0.0,0.3,0.4,69.2,0.7,1.2,1.9,0.2,0.3,0.1,0.1,0.9,4.8,0.0,0.0,0.2
Kevin Salvadori,SAC,26,23,14,9,6.7,1.6,0.5,1.4,36.4,0.0,0.0,0.0,0.6,0.8,72.2,0.3,0.8,1.1,0.4,0.5,0.1,0.6,0.7,5.0,0.0,0.0,0.6
Tom Chambers,CHH,38,12,11,1,6.8,1.6,0.6,2.6,22.6,0.2,0.3,66.7,0.3,0.3,75.0,0.3,0.9,1.2,0.3,0.8,0.1,0.0,1.2,3.0,0.0,0.0,-4.1
Steve Scheffler,SEA,29,7,6,1,3.9,1.6,0.7,0.9,83.3,0.0,0.0,0.0,0.1,0.3,50.0,0.1,0.3,0.4,0.0,0.7,0.0,0.0,0.7,1.4,0.0,0.0,-1.7
Martin Lewis,TOR,22,9,3,6,5.6,1.6,0.7,1.6,42.9,0.1,0.3,33.3,0.1,0.2,50.0,0.4,0.2,0.7,0.4,0.1,0.1,0.2,0.9,3.9,0.0,0.0,-0.9
Joe Stephens,HOU,24,2,1,1,4.9,1.5,0.5,2.5,20.0,0.5,1.5,33.3,0.0,0.0,0.0,1.0,0.5,1.5,0.0,1.5,1.5,0.0,1.5,6.3,0.0,0.0,-2.0
Matt Steigenga,CHI,27,2,1,1,5.9,1.5,0.5,2.0,25.0,0.0,1.0,0.0,0.5,1.0,50.0,0.0,1.5,1.5,1.0,1.0,0.5,0.5,0.5,6.8,0.0,0.0,-2.0
Moochie Norris,VAN,23,8,2,6,10.9,1.5,0.5,2.8,18.2,0.3,1.3,20.0,0.3,0.6,40.0,0.4,1.1,1.5,2.9,0.6,0.5,0.0,0.6,8.5,0.0,0.0,-5.9
Robert Werdann,NJN,26,6,0,6,5.1,1.5,0.5,1.2,42.9,0.0,0.0,0.0,0.5,0.5,100,0.5,0.5,1.0,0.0,0.3,0.3,0.2,1.7,3.9,0.0,0.0,-1.8
Scott Brooks,NYK,31,38,29,9,6.5,1.5,0.5,1.0,48.7,0.1,0.3,41.7,0.4,0.4,93.3,0.2,0.3,0.5,0.8,0.4,0.6,0.0,0.9,4.4,0.0,0.0,0.5
